num_of_lic,bank_name,l_in_foreign_MOODYS,l_in_nat_MOODYS,MOODYS,s_in_foreign_MOODYS,s_in_nat_MOODYS,on_nat_MOODYS,fin_stab_MOODYS,dates_MOODYS,EXPERT_RA,EXPERT_RA_prognosis,EXPERT_RA_dates,NRA,NRA_prognosis,NRA_dates,AK&M,AK&M_prognosis,AK&M_dates
3073,Росгосстрах Банк,6.0,6.0,1.0,0.0,0.0,,2.0,29.11.2016,11.0,1.0,28.04.2017,19.0,1.0,10.06.2016,,,
3349,Россельхозбанк,9.0,9.0,1.0,0.0,0.0,,2.0,21.02.2017,,,,,,,,,
2312,Российский Капитал,,,,,,,,18.03.2016,11.0,1.0,23.05.2017,19.0,,25.02.2013,,,
1354,Российский Национальный Коммерческий Банк,,,,,,,,,14.0,1.0,25.04.2017,,,,,,
328,Россия,,,,-1.0,-1.0,,,15.04.2013,18.0,1.0,05.06.2017,,,,,,
2888,Рост Банк,,,,,,,,,,,21.04.2015,,,,,,
783,Роял Кредит Банк,,,,,,,,,15.0,1.0,26.01.2017,,,,,,
3098,Рублев,,,,,,,,,,,05.11.2015,,,,7.0,1.0,17.11.2016
2093,РусЮгбанк,,,,,,,,,12.0,1.0,03.05.2017,,,,,,
3403,Руснарбанк,,,,,,,,,11.0,1.0,26.05.2017,,,,,,
1968,Русский Ипотечный Банк,,,,,,,,,,,05.04.2016,16.0,1.0,17.06.2016,,,
469,Русский Национальный Банк,,,,,,,,,,,,,,09.09.2011,,,
2289,Русский Стандарт,3.0,3.0,0.0,0.0,0.0,,2.0,18.03.2016,,,,,,14.05.2015,,,
2842,Русский Торговый Банк,,,,,,,,,,,14.04.2017,,,,,,
1792,Русфинанс Банк,9.0,10.0,1.0,0.0,0.0,,2.0,21.02.2017,,,,,,,,,
704,Русь,,,,,,,,,,,08.04.2010,16.0,1.0,23.03.2016,,,
1637,СДМ-Банк,,,,,,,,,15.0,1.0,24.04.2017,,,,,,
3245,СИАБ,,,,,,,,,9.0,0.0,30.05.2017,16.0,0.0,08.10.2015,,,
705,СКБ-Банк,,,,-1.0,-1.0,,,21.07.2015,9.0,1.0,30.06.2017,,,,,,
3368,СМП Банк,,,,-1.0,-1.0,,,29.04.2014,14.0,1.0,19.05.2017,20.0,1.0,25.07.2016,,,
330,Саратов,,,,,,,,,,,17.05.2017,,,,,,
2048,Саровбизнесбанк,,,,,,,,,,,,,,,,,
1481,Сбербанк России,9.0,10.0,1.0,0.0,0.0,,4.0,21.02.2017,,,,,,,,,
1470,Связь-Банк,,,,-1.0,-1.0,,,16.11.2011,15.0,1.0,06.07.2017,,,,,,
2816,Севергазбанк,,,,,,,,,13.0,1.0,25.05.2017,,,,,,
2398,Северный Кредит,,,,,,,,,,,11.09.2017,,,28.11.2011,,,
106,Сельмашбанк,,,,,,,,,8.0,1.0,12.05.2017,,,,,,
1284,Сибирский Банк Реконструкции и Развития,,,,,,,,,,,22.01.2016,,,,,,
2015,Сибсоцбанк,,,,,,,,,12.0,1.0,14.04.2017,,,,,,
2664,Славия,,,,,,,,,,,01.08.2016,,,,,,
1376,Снежинский,,,,,,,,,12.0,1.0,25.04.2017,,,,,,
963,Совкомбанк,8.0,8.0,1.0,0.0,0.0,,,13.01.2017,14.0,1.0,14.07.2017,,,,,,
1329,Солид Банк,,,,,,,,,,,,15.0,1.0,01.08.2016,,,
1555,Солидарность (Москва),,,,,,,,,,,,,,,7.0,1.0,03.10.2016
554,Солидарность (Самара),4.0,4.0,1.0,0.0,0.0,,1.0,07.12.2012,4.0,0.0,26.05.2017,,,,,,
1132,Социнвестбанк,,,,,,,,,,,,,,,,,18.05.2016
2307,Союз,,,,,,,,,,,,,,,,,
3236,Союзный,,,,,,,,,,,26.09.2016,15.0,1.0,21.10.2016,,,
1288,Ставропольпромстройбанк,,,,,,,,,7.0,1.0,05.05.2017,,,,,,
2995,Стройлесбанк,,,,,,,,,,,12.11.2015,,,,,,
588,Сургутнефтегазбанк,,,,,,,,,16.0,1.0,14.04.2017,,,18.09.2015,,,
1249,Таатта,,,,,,,,,10.0,1.0,25.05.2017,,,,,,
2304,Таврический,,,,,,,,,,,,,,,,,
1312,Тамбовкредитпромбанк,,,,,,,,,10.0,1.0,23.05.2017,,,,,,
480,Татсоцбанк,,,,,,,,,12.0,1.0,27.06.2017,,,,,,
2673,Тинькофф Банк,7.0,7.0,1.0,0.0,0.0,,2.0,22.02.2017,,,26.04.2011,,,,,,
2507,Тольяттихимбанк,,,,,,,,,,,17.03.2010,,,,,,
2210,Транскапиталбанк,7.0,,,0.0,0.0,,2.0,02.06.2017,15.0,1.0,31.05.2017,,,,,,
2807,Трансстройбанк,,,,,,,,,6.0,0.0,20.06.2017,,,,,,
3431,Тройка-Д Банк,,,,,,,,,,0.0,04.07.2016,16.0,1.0,08.04.2016,,,
2997,Углеметбанк,,,,,,,,,9.0,1.0,25.05.2017,,,,6.0,1.0,15.02.2016
249,Урал ФД,5.0,5.0,2.0,0.0,0.0,,2.0,16.09.2016,11.0,1.0,27.04.2017,,,,,,
2519,Уралкапиталбанк,,,,,,,,,,,29.05.2017,,,,,,
153,Уралприватбанк,,,,,,,,,,,30.07.2010,,,,,,
2964,Уралпромбанк,,,,,,,,,,,02.03.2011,,,,,,
429,Уральский Банк Реконструкции и Развития,,,,,,,,,,,,,,23.12.2016,,,
596,Уссури,,,,,,,,,,,03.02.2010,,,,,,
2063,ФорБанк,,,,,,,,,8.0,1.0,29.06.2017,,,,,,
1885,Фора-Банк,,,,,,,,,,,28.04.2016,,,,,,
2208,Форштадт,,,,,,,,,,,,17.0,1.0,28.10.2016,,,
1049,Хакасский Муниципальный Банк,,,,,,,,,9.0,1.0,04.09.2017,,,,,,
254,Хлынов,,,,,,,,,,,10.05.2016,16.0,1.0,19.04.2016,,,
503,Холмск,,,,,,,,,,,23.11.2015,,,,,,
316,Хоум Кредит Банк,,,,-1.0,-1.0,,,09.02.2017,13.0,1.0,04.07.2017,,,,,,
2225,Центр-инвест,8.0,8.0,1.0,0.0,0.0,,2.0,03.04.2017,,,,,,,,,
2670,Центрально-Европейский Банк,,,,,,,,,8.0,0.0,14.07.2015,,,,,,
485,Челиндбанк,,,,,,,,,17.0,1.0,10.05.2017,,,,,,
493,Челябинвестбанк,,,,,,,,,16.0,,19.05.2017,,,,,,
1280,Чувашкредитпромбанк,,,,,,,,,,,08.06.2017,,,,,,
1319,Экономбанк,,,,,,,,,4.0,0.0,12.11.2015,,,,,,
2949,Эксперт Банк,,,,,,,,,7.0,0.0,03.05.2017,,,11.09.2014,,,
2998,Экспобанк,,,,-1.0,-1.0,,,05.08.2011,,,03.10.2016,,,,,,
3085,Экспресс-Волга,,,,,,,,,,,,17.0,,14.11.2011,,,
1399,Элита,,,,,,,,,,,,,,,6.0,0.0,04.10.2016
67,Энергобанк,,,,,,,,,10.0,0.0,24.05.2017,,,,,,
52,Энергомашбанк,,,,,,,,,,,30.05.2016,,,,,,
1307,Энерготрансбанк,,,,,,,,,13.0,1.0,16.05.2017,,,,,,
2772,Юг-Инвестбанк,,,,,,,,,11.0,1.0,26.05.2017,,,,,,
3467,Юнистрим,,,,,,,,,13.0,1.0,24.05.2017,,,,,,
3185,ЯР-Банк,,,,,,,,,,,,,,25.11.2016,,,
