num_of_lic,bank_name,l_in_foreign_MOODYS,l_in_nat_MOODYS,MOODYS,s_in_foreign_MOODYS,s_in_nat_MOODYS,on_nat_MOODYS,fin_stab_MOODYS,dates_MOODYS,EXPERT_RA,EXPERT_RA_prognosis,EXPERT_RA_dates,NRA,NRA_prognosis,NRA_dates,AK&M,AK&M_prognosis,AK&M_dates
545.0,Камчаткомагропромбанк,,,,,,,,,отозван,-,05.07.2010,,,,,,
842.0,Кетовский Коммерческий Банк,,,,,,,,,отозван,,13.08.2013,,,,,,
65.0,Кольцо Урала,,,,,,,,,отозван,,15.05.2017,,,,,,
3184.0,Континенталь,,,,,,,,,отозван,,15.11.2013,,,,,,
3300.0,Кошелев-Банк,,,,,,,,,ruBB,негативный,03.07.2017,,,,,,
2271.0,Кранбанк,,,,,,,,,ruCCC,негативный,22.08.2017,,,,отозван,,31.10.2012
1680.0,Креди Агриколь КИБ,,,,,,,,,,,,,,,,,
3311.0,Кредит Европа Банк,B1,B1,стабильный,NP,NP,,E+,24.01.2017,,,,,,,,,
2584.0,Кредит Урал Банк,,,,,,,,,ruA+,стабильный,14.06.2017,,,,,,
1165.0,Кредпромбанк,,,,,,,,,отозван,,05.06.2017,,,,,,
2518.0,Кубань Кредит,B3,B3,стабильный,NP,NP,отозван,E+,18.03.2016,,,,,,,,,
609.0,Кузнецкий,,,,,,,,,,,,,,,B++,стабильный,27.07.2016
735.0,Курскпромбанк,,,,,,,,,ruBBB+,стабильный,08.06.2017,отозван,,02.03.2010,,,
3177.0,Лайтбанк,,,,,,,,,отозван,,19.02.2016,,,,,,
1920.0,Ланта-Банк,,,,,,,,,,,,A+,стабильный,18.11.2016,,,
1343.0,Левобережный,,,,,,,,,ruBBB+,стабильный,02.05.2017,,,,,,
1242.0,Липецккомбанк,,,,,,,,,отозван,,24.01.2017,,,,отозван,,16.03.2015
2707.0,Локо-Банк,B1,B1,стабильный,NP,NP,,E+,06.06.2017,отозван,,25.06.2015,,,,,,
3395.0,МБА-Москва,B3,B3,стабильный,NP,NP,,E+,25.07.2017,,,,,,,,,
2268.0,МТС Банк,отозван,отозван,отозван,отозван,отозван,,отозван,03.10.2016,ruBBB-,развивающийся,17.07.2017,отозван,,03.08.2011,,,
1136.0,Майкопбанк,,,,,,,,,отозван,,31.01.2014,,,,,,
3265.0,Мегаполис,,,,,,,,,отозван,,15.10.2015,,,,,,
197.0,Международный Банк Санкт-Петербурга (МБСП),,,,,,,,,отозван,-,28.06.2010,,,,,,
2524.0,Международный Коммерческий Банк,,,,,,,,,отозван,,05.06.2017,,,,,,
2618.0,Международный Финансовый Клуб,Caa1,Caa1,развивающийся,NP,NP,,E+,07.07.2017,ruB+,стабильный,09.06.2017,,,,,,
752.0,Межрегиональный промышленно-строительный банк,,,,,,,,,ruCCC,негативный,13.06.2017,,,,,,
2440.0,Металлинвестбанк,B2,B2,позитивный,NP,NP,,E+,30.05.2017,ruBBB,стабильный,26.07.2017,AA-,стабильный,28.12.2016,,,
2877.0,Металлург,,,,,,,,,,,,,,,,,
2443.0,Меткомбанк (Каменск-Уральский),B3,B3,позитивный,NP,NP,,E+,29.11.2016,отозван,,27.09.2016,AA,стабильный,22.12.2016,,,
1927.0,Модульбанк,,,,,,,,,отозван,,08.12.2015,,,,,,
77.0,Морской Банк,B3,B3,негативный,NP,NP,отозван,E+,18.03.2016,A,стабильный,01.07.2015,A-,стабильный,13.12.2016,,,
912.0,Московский Индустриальный Банк,,,,,,,,,отозван,,13.01.2016,,,,,,
1978.0,Московский Кредитный Банк,B1,B1,позитивный,NP,NP,,E+,09.06.2017,отозван,,26.06.2017,,,,,,
1751.0,Московский Областной Банк,,,,,,,,,отозван,,05.03.2010,отозван,,16.05.2014,,,
2646.0,Московско-Парижский Банк,,,,,,,,,отозван,,11.07.2017,,,,,,
3365.0,Москоммерцбанк,,,,,,,,,,,,A+,негативный,04.03.2016,,,
2103.0,Муниципальный Камчатпрофитбанк,,,,,,,,,отозван,,27.03.2017,,,,,,
1966.0,НБД-Банк,Ba3,Ba3,стабильный,NP,NP,,E+,04.04.2017,отозван,,04.07.2017,,,,,,
3124.0,НС Банк,отозван,отозван,отозван,отозван,отозван,отозван,отозван,19.04.2016,ruBB-,негативный,06.06.2017,A+,негативный,20.05.2016,отозван,,23.12.2013
1309.0,Народный Банк Тувы,,,,,,,,,отозван,,12.01.2017,,,,,,
2876.0,Народный Инвестиционный Банк,,,,,,,,,,,,,,,,,
3279.0,Национальный Банк «Траст»,,,,,,,,,отозван,,31.08.2015,,,,,,
1949.0,Национальный Банк Сбережений,,,,,,,,,,,,,,,,,
3421.0,Национальный Стандарт,B3,B3,стабильный,NP,NP,отозван,E+,18.03.2016,ruBBB,стабильный,02.05.2017,,,,отозван,,27.05.2015
1926.0,Невастройинвест,,,,,,,,,B++,стабильный,30.11.2015,,,,,,
1068.0,Невский Банк,,,,,,,,,ruB-,негативный,14.04.2017,,,,,,
2156.0,Нефтепромбанк,,,,,,,,,отозван,,28.11.2016,,,,,,
702.0,Нико-Банк,,,,,,,,,ruBBB,стабильный,31.05.2017,,,,,,
635.0,НоваховКапиталБанк,,,,,,,,,отозван,,08.02.2017,,,,,,
2546.0,Новикомбанк,B2,B2,развивающийся,NP,NP,отозван,E+,06.09.2016,ruBB-,позитивный,19.04.2017,,,,,,
3492.0,Новое Время,,,,,,,,,отозван,,30.12.2016,,,,,,
467.0,Новопокровский,,,,,,,,,ruBB,стабильный,29.08.2017,,,,отозван,,25.01.2013
902.0,Норвик Банк,,,,,,,,,,,,A,,28.02.2014,,,
2766.0,ОТП Банк,отозван,отозван,отозван,отозван,отозван,отозван,отозван,11.05.2016,ruA,стабильный,07.07.2017,,,,,,
1118.0,Объединенный Кредитный Банк,,,,,,,,,отозван,,23.05.2016,,,,,,
3269.0,Оренбург,,,,,,,,,,,,A,стабильный,14.12.2016,,,
2655.0,ПИР Банк,,,,,,,,,,,,,,,отозван,,17.03.2016
518.0,Первомайский,,,,,,,,,ruCCC,негативный,28.04.2017,,,,,,
965.0,Первоуральскбанк,,,,,,,,,ruBB-,стабильный,30.05.2017,,,,,,
2551.0,Петербургский Социальный Коммерческий Банк,B2,B2,стабильный,NP,NP,отозван,E+,18.03.2016,ruBBB,стабильный,03.08.2017,,,,,,
1189.0,Плюс Банк,,,,,,,,,отозван,,15.06.2017,отозван,,12.08.2015,,,
2534.0,Пойдем!,,,,,,,,,,,,,,,,,
1788.0,Почтобанк,,,,,,,,,отозван,,10.11.2014,,,,,,
2758.0,Прайм Финанс,,,,,,,,,ruB,негативный,04.05.2017,,,,,,
3001.0,Приморье,,,,,,,,,,,,,,,A,стабильный,22.11.2016
212.0,Прио-Внешторгбанк,,,,,,,,,A,стабильный,10.07.2014,,,,,,
784.0,Проинвестбанк,,,,,,,,,отозван,,26.04.2017,,,,,,
3251.0,Промсвязьбанк,Ba3,Ba3,негативный,NP,NP,,E+,17.11.2015,ruA,стабильный,30.06.2017,AA+,позитивный,14.04.2016,,,
874.0,Прохладный,,,,,,,,,,,,,,,,,
3450.0,РЕСО Кредит,,,,,,,,,ruBBB+,стабильный,29.05.2017,,,,,,
3401.0,РТС-Банк,,,,,,,,,B++,отозван,20.03.2015,,,,,,
3351.0,РФИ Банк,,,,,,,,,отозван,,23.08.2017,,,,,,
1166.0,Радиотехбанк,,,,,,,,,отозван,,28.12.2016,,,,,,
3292.0,Райффайзенбанк,Ba2,Ba1,стабильный,NP,NP,,D,26.04.2017,,,,,,,,,
3354.0,Ренессанс Кредит,B3,B3,негативный,NP,NP,,E+,11.06.2015,,,,,,,,,
3137.0,РосЕвроБанк,отозван,отозван,отозван,отозван,отозван,отозван,отозван,25.02.2016,,,,AA+,стабильный,03.08.2016,,,
2272.0,Росбанк,Ba2,Ba1,стабильный,NP,NP,отозван,D-,21.02.2017,,,,,,,,,
3073.0,Росгосстрах Банк,B2,B2,стабильный,NP,NP,отозван,E+,29.11.2016,ruBBB-,стабильный,28.04.2017,AA-,стабильный,10.06.2016,,,
3349.0,Россельхозбанк,Ba2,Ba2,стабильный,NP,NP,отозван,E+,21.02.2017,,,,,,,,,
2312.0,Российский Капитал,,,,,,отозван,,18.03.2016,ruBBB-,стабильный,23.05.2017,AA-,,25.02.2013,,,
